249602,name201050,deptId323668
171820,name582232,deptId496098
320095,name789839,deptId43778
817842,name483991,deptId604403
435534,name890218,deptId382731
412336,name193929,deptId820344
819110,name362749,deptId156642
906303,name112298,deptId234784
233469,name893460,deptId185996
645054,name429271,deptId492514
107692,name960720,deptId562385
953005,name78576,deptId618166
219419,name667891,deptId763708
447270,name236542,deptId745903
801232,name274237,deptId833157
216183,name999229,deptId26422
447049,name435653,deptId821701
773688,name719896,deptId778706
452558,name262281,deptId906306
567646,name959043,deptId947937
752127,name633549,deptId404296
579481,name844480,deptId16171
990999,name407682,deptId443472
640464,name833084,deptId765778
583847,name705503,deptId443689
995194,name516684,deptId243560
550647,name887315,deptId812451
358637,name285370,deptId295350
310874,name862914,deptId308671
489642,name132460,deptId964749
637156,name378936,deptId395665
967213,name818068,deptId96347
370755,name593528,deptId635231
949524,name602604,deptId543900
943346,name700249,deptId495985
875942,name117367,deptId505901
909461,name512609,deptId380236
331339,name434635,deptId106007
465944,name8572,deptId965981
488371,name692176,deptId588360
560114,name118086,deptId442629
346889,name262015,deptId96808
813414,name78811,deptId417101
623479,name303578,deptId259311
514850,name896507,deptId527858
765311,name980495,deptId627498
526607,name483164,deptId829910
548615,name393872,deptId786211
595893,name487972,deptId605813
705934,name170259,deptId503817
722389,name164070,deptId47558
615277,name794744,deptId755030
263039,name308705,deptId847186
185051,name15635,deptId850956
368605,name920344,deptId810342
667217,name250065,deptId8326
379254,name699149,deptId915395
451977,name262529,deptId583612
398680,name233501,deptId75988
516091,name165924,deptId539311
701298,name801640,deptId443363
75528,name384285,deptId957797
776786,name109412,deptId685060
519356,name466475,deptId255521
841416,name392988,deptId562172
402003,name519532,deptId468418
250019,name207924,deptId348953
77299,name604648,deptId331577
493644,name909413,deptId300791
750335,name481565,deptId29310
198328,name157156,deptId466093
130996,name259021,deptId235571
126378,name139603,deptId404519
872631,name43969,deptId855325
620101,name223856,deptId645474
926091,name200523,deptId967716
754217,name653746,deptId232827
196492,name663278,deptId160705
299986,name646767,deptId59370
440230,name773249,deptId290381
58180,name910865,deptId117446
106033,name327415,deptId333969
499367,name86826,deptId542754
637594,name19723,deptId549971
434157,name895591,deptId572789
170701,name525010,deptId335420
162653,name972814,deptId536399
480901,name820717,deptId957267
62247,name175450,deptId650197
858929,name411151,deptId521060
881163,name962313,deptId275836
539737,name160931,deptId591066
988551,name66723,deptId506758
75761,name93945,deptId202910
1554,name700731,deptId269689
736192,name222350,deptId745915
1551,name502100,deptId978248
137494,name687252,deptId310239
616205,name296332,deptId988664
679907,name288773,deptId460417
589744,name880257,deptId78888
31225,name897146,deptId865657
216545,name115107,deptId834830
682062,name984061,deptId703372
668899,name162181,deptId21200
485748,name904858,deptId429707
601317,name250046,deptId936267
454198,name87135,deptId307776
27435,name286628,deptId430768
289211,name953495,deptId548672
93429,name541476,deptId2303
344227,name615405,deptId417505
466161,name235030,deptId240533
411407,name251777,deptId760502
313825,name541504,deptId125395
356080,name712472,deptId270914
908613,name763436,deptId330636
986074,name606075,deptId335751
208309,name158864,deptId408584
508024,name904490,deptId433188
173877,name882964,deptId863291
218654,name240626,deptId696300
958893,name533123,deptId730775
225940,name689171,deptId222307
579925,name868159,deptId622981
538384,name850109,deptId104198
852992,name250537,deptId22125
281607,name225114,deptId401236
747731,name157674,deptId396832
902858,name219679,deptId775423
225806,name279883,deptId905481
498115,name246761,deptId52083
486140,name715970,deptId47741
451877,name871326,deptId332182
992751,name502243,deptId899068
217869,name851262,deptId126272
942423,name970729,deptId928602
577644,name221189,deptId260736
367265,name433711,deptId148230
817668,name177586,deptId906161
240932,name247773,deptId693168
133301,name563845,deptId788466
54357,name193446,deptId406993
74887,name593456,deptId515146
277242,name238144,deptId10044
303251,name481900,deptId269700
16095,name552916,deptId966931
360253,name241084,deptId612241
690691,name347259,deptId751157
34927,name752265,deptId418360
948672,name376650,deptId358092
325430,name442212,deptId966501
892894,name620293,deptId953041
686332,name805413,deptId700641
144602,name755254,deptId97184
713783,name492496,deptId666551
626136,name234696,deptId546620
244049,name911462,deptId528807
366392,name512986,deptId740379
213724,name74538,deptId707416
930447,name403499,deptId879902
313369,name140617,deptId725999
982143,name985504,deptId151368
765663,name316594,deptId915513
142700,name579058,deptId718992
205294,name918980,deptId263967
692414,name262034,deptId57909
838142,name748778,deptId677114
517571,name908682,deptId254307
110348,name665407,deptId328199
388373,name858543,deptId101069
476032,name113632,deptId238562
345681,name403178,deptId832213
993577,name215606,deptId200805
202765,name626849,deptId716378
24288,name327717,deptId157365
994137,name463323,deptId817369
353961,name844469,deptId665928
855868,name318739,deptId12767
299467,name998737,deptId574122
482789,name291297,deptId509130
915063,name512631,deptId334236
944346,name28712,deptId835095
207052,name196345,deptId690179
634845,name10810,deptId806580
841400,name878500,deptId871054
387566,name594703,deptId853781
783824,name79543,deptId194432
780045,name705035,deptId275590
753313,name633454,deptId921869
445654,name264314,deptId227071
737356,name353883,deptId671796
510721,name640675,deptId300576
76976,name738191,deptId772921
959871,name31925,deptId282736
609795,name589500,deptId594881
906109,name683743,deptId541630
317504,name371049,deptId853153
885610,name743067,deptId797362
434411,name873501,deptId646375
582307,name854133,deptId857222
507198,name154627,deptId286893
358303,name819371,deptId932958
841912,name270982,deptId587327
125741,name282390,deptId822524
397376,name281508,deptId698211
499192,name571329,deptId331097
822265,name564521,deptId595469
567756,name689459,deptId327239
69181,name917719,deptId175373
387541,name997225,deptId678259
782183,name864501,deptId38395
278244,name710376,deptId948263
418655,name824770,deptId319167
351008,name618326,deptId93350
289477,name884355,deptId715754
685869,name437503,deptId668926
340092,name856812,deptId41087
995908,name415929,deptId129136
137961,name328482,deptId858155
579568,name959699,deptId460736
742700,name55378,deptId66950
188919,name789365,deptId71958
397986,name610697,deptId358036
512163,name677149,deptId733697
840380,name963436,deptId66155
688040,name79350,deptId759679
747450,name305697,deptId676342
897578,name526805,deptId825954
553032,name48394,deptId94632
355407,name534889,deptId669169
624547,name837685,deptId166514
38003,name354359,deptId907039
889967,name342669,deptId753277
403609,name273742,deptId897203
43702,name870143,deptId558963
289141,name463853,deptId779520
287145,name659533,deptId598841
639733,name615730,deptId704967
305374,name39896,deptId454527
848525,name735507,deptId520994
876987,name897038,deptId974111
48389,name78017,deptId999371
306269,name614915,deptId530799
271998,name860126,deptId679785
100178,name979687,deptId474925
74092,name353216,deptId813300
196269,name241374,deptId675909
227468,name232607,deptId899213
625269,name920760,deptId218688
665465,name629473,deptId97454
500367,name252271,deptId343140
745660,name684461,deptId935750
280157,name945549,deptId357724
70325,name492535,deptId788443
393706,name667920,deptId919779
379506,name789351,deptId847133
496871,name131229,deptId383441
777239,name176848,deptId961647
825233,name928126,deptId410243
363823,name787166,deptId646745
722738,name49505,deptId278272
97994,name923946,deptId893805
209711,name990540,deptId552136
566511,name209626,deptId898123
149516,name946266,deptId550019
332831,name24645,deptId372617
89351,name797095,deptId92652
537508,name222779,deptId670846
528909,name906859,deptId309554
960157,name451808,deptId760034
994524,name802637,deptId123126
867609,name667593,deptId869638
544399,name695767,deptId915019
595433,name561544,deptId45219
315000,name544535,deptId976817
667374,name572302,deptId544044
310397,name444064,deptId678898
244316,name439955,deptId831293
