710309,name670046,address39349,status102007
80795,name191169,address828090,status42001
112452,name491324,address651355,status456011
52021,name671700,address184692,status954352
347885,name535522,address599880,status571812
856947,name715623,address66021,status993669
781260,name883254,address491894,status121198
130326,name985935,address290597,status826005
669892,name516044,address801323,status798420
945527,name644596,address13173,status441541
533877,name981742,address379764,status49478
608584,name546575,address95938,status512987
658934,name990100,address604588,status97267
5720,name21867,address988000,status186499
856729,name180780,address538036,status745167
804301,name230053,address407760,status704967
293163,name299346,address69050,status197134
628265,name139500,address756348,status368661
185906,name311832,address117492,status700710
276167,name289216,address774392,status528061
175791,name166783,address754915,status298576
482972,name325686,address633537,status571504
386908,name589948,address172179,status705288
435448,name492914,address435327,status783873
406125,name340019,address185751,status470280
190852,name450603,address272644,status252199
489616,name11967,address586831,status729744
501956,name734250,address744459,status670969
772014,name716584,address694179,status19360
376788,name101706,address547196,status995632
994153,name768426,address998598,status270012
117676,name632121,address521316,status987112
116382,name810612,address321397,status982823
850974,name865269,address833151,status91294
431650,name611110,address18872,status535464
998292,name958672,address950192,status34355
863047,name814417,address312094,status994119
887956,name152684,address748997,status959783
302805,name479675,address343234,status687952
997630,name610047,address962037,status483486
394451,name313944,address205898,status54094
875081,name717456,address818915,status284382
558461,name456657,address149987,status292497
452363,name891127,address846362,status194446
263053,name489920,address96200,status332904
237232,name396064,address663440,status698041
330292,name226929,address509563,status149223
374784,name442632,address96869,status474696
965151,name278499,address570376,status535650
193627,name542206,address735075,status943179
556020,name401797,address169094,status448943
906557,name35683,address914493,status95728
739092,name104632,address938390,status660520
616764,name109290,address297937,status743626
949081,name494803,address725348,status705958
670151,name427928,address368104,status709771
152790,name658521,address103779,status496326
833254,name330884,address312626,status531593
542364,name265732,address390227,status766759
911038,name91543,address189069,status245052
939057,name841278,address516988,status135722
411148,name310285,address928829,status43518
670744,name314530,address136562,status769904
390950,name781746,address778226,status212553
167245,name680639,address248400,status109151
489535,name341542,address890567,status22332
363848,name677780,address424959,status483101
863330,name719961,address208702,status793494
115063,name496021,address584878,status255763
848180,name335054,address69510,status559801
566277,name338724,address819224,status536490
571443,name298332,address126711,status702439
343832,name280728,address27075,status129105
694651,name42727,address630931,status280328
87884,name628921,address14717,status497972
989309,name788843,address846660,status280482
573434,name544449,address29407,status926470
533703,name132209,address913442,status903327
639349,name788828,address805708,status306104
438657,name803672,address578860,status162762
660553,name554600,address643888,status670847
